echelle;annee;moyenne_age
Amikuze;2010;48
Amikuze;2020;49
ca_du_pays_basque;2010;47
ca_du_pays_basque;2020;49
Cote Basque Adour;2010;0
Cote Basque Adour;2020;0
Erobi;2010;49
Erobi;2020;49
Garazi Baigorri;2010;45
Garazi Baigorri;2020;47
Iholdi Oztibarre;2010;45
Iholdi Oztibarre;2020;48
Nive Adour;2010;0
Nive Adour;2020;0
Pays de Bidache;2010;49
Pays de Bidache;2020;50
Pays d'Hasparren;2010;46
Pays d'Hasparren;2020;49
Soule Xiberoa;2010;47
Soule Xiberoa;2020;49
Sud Pays Basque;2010;50
Sud Pays Basque;2020;50
