Étiquettes de lignes;apiculture (nombre de ruches);total Ã©quins;total bovins;total caprins;total ovins;total porcins;total volailles;Total général
Amikuze;5;25;303;5;200;45;97;1134
ca_du_pays_basque;50;534;2069;82;1912;298;458;8583
Cote Basque Adour;3;-999;4;0;4;-999;6;-1969
Errobi;7;54;115;10;120;21;28;574
Garazi Baigorri;-999;175;436;17;535;66;50;985
Iholdi Oztibarre;3;52;259;9;249;27;39;974
Nive Adour;5;10;34;-999;17;6;10;-855
Pays de Bidache;-999;22;104;-999;22;7;56;-1628
Pays d'Hasparren;7;68;284;15;263;35;65;1187
Soule Xiberoa;12;87;400;12;364;68;86;1578
Sud Pays Basque;4;40;130;10;138;21;21;598
